handle,name,platform,niche,followers,avg_engagement_rate,location,verified,fake_followers_pct
@gaanesuneansune,Goldmines Gaane Sune Ansune,youtube,music,49000000,11.33,,FALSE,0
@aboflah,AboFlah,youtube,lifestyle,49000000,21.28,KW,FALSE,0
@shortsbreak_official,Shorts Break,youtube,comedy,48500000,50,,FALSE,0
@beneagleofficial,BEN EAGLE,youtube,lifestyle,48400000,6.39,,FALSE,0
@alanwalkermusic,Alan Walker,youtube,lifestyle,47500000,35.34,NO,FALSE,0
@skibidi,skibidi,youtube,lifestyle,47100000,50,,FALSE,0
@katyperry,Katy Perry,youtube,lifestyle,46900000,50,US,FALSE,0
@rohitsharma45,Rohit Sharma,instagram,lifestyle,46736816,3.97,,TRUE,0
@priyal_kukreja,Priyal Kukreja,youtube,business,46400000,45.48,,FALSE,0
@mashaoso,Masha y el Oso,youtube,lifestyle,45800000,28.04,,FALSE,0
@rihanna,Rihanna,youtube,lifestyle,45800000,50,,FALSE,0
@totalgaming093,Total Gaming,youtube,gaming,45600000,19.51,IN,FALSE,0
@carryminati,CarryMinati,youtube,gaming,45500000,46.55,IN,FALSE,0
@akshaynagwadiya,Akshay Nagwadiya,youtube,lifestyle,45500000,22,,FALSE,0
@kidsromashow,??Kids Roma Show,youtube,travel,44700000,47.73,,FALSE,0
@holasoygerman,HolaSoyGerman.,youtube,lifestyle,44500000,50,CL,FALSE,0
@mavigadgets,MaviGadget,youtube,travel,44400000,11.34,,FALSE,0
@likenastya_show,Like Nastya Show,youtube,lifestyle,44400000,50,,FALSE,0
@peppapigofficial,Peppa Pig - Official Channel,youtube,lifestyle,43700000,9.33,,FALSE,0
@brunomars,Bruno Mars,youtube,music,43400000,50,,FALSE,0
@leonatafamily,LeoNata Family,youtube,comedy,43300000,19.84,,FALSE,0
@xxxtentacion,XXXTENTACION,youtube,gaming,43000000,50,US,FALSE,0
@zachking,Zach King,youtube,lifestyle,42900000,50,,FALSE,0
@kidschannelindia,Kids Channel India - Hindi Rhymes and Baby Songs,youtube,music,42400000,21.18,,FALSE,0
@gulshankalra07,Gulshan Kalra,youtube,business,42400000,49.65,,FALSE,0
@brentrivera,Brent Rivera,youtube,business,42100000,34.68,,FALSE,0
@badbunny,Bad Bunny,tiktok,lifestyle,41900000,50,,TRUE,0
@jasonderulo,Jason Derulo,youtube,lifestyle,41900000,10.84,,FALSE,0
@thegeetagurjar,The geeta gurjar,youtube,lifestyle,41800000,35.99,,FALSE,0
@littlebabybum,Little Baby Bum - Nursery Rhymes & Kids Songs,youtube,music,41700000,31.61,,FALSE,0
@daddyyankee,Daddy Yankee,youtube,lifestyle,41300000,50,,FALSE,0
@karolg,KAROL G,youtube,lifestyle,41100000,50,,FALSE,0
@apnapunjab,T-Series Apna Punjab,youtube,music,41000000,7.35,,FALSE,0
@nichlmao,NichLmao,youtube,lifestyle,41000000,29.75,,FALSE,0
@sujalthakral,Sujal Thakral,youtube,comedy,40800000,31.69,,FALSE,0
@elrubiusomg,elrubiusOMG,youtube,lifestyle,40800000,27.3,,FALSE,0
@martaandrustam,Marta and Rustam,youtube,lifestyle,40800000,34.33,,FALSE,0
@jesser,Jesser,youtube,lifestyle,40700000,16.53,,FALSE,0
@anokhinalz,?nokhina Liza,tiktok,lifestyle,40600000,50,,TRUE,0
@mrdegreeofficial,Mr DegrEE,youtube,lifestyle,40400000,42.62,,FALSE,0
@ryansworld,Ryan's World,youtube,music,40300000,42.69,,FALSE,0
@tuzelityofficial,tuzelity SHUFFLE,youtube,lifestyle,40300000,36.18,,FALSE,0
@souravjvlogs,Sourav Joshi Vlogs,youtube,music,40100000,22.83,IN,FALSE,0
@onedirectionchannel,One Direction,youtube,music,39800000,50,,FALSE,0
@unknownboyvarun7,unknown boy varun,youtube,comedy,39700000,40.86,,FALSE,0
@theweeknd,The Weeknd,youtube,lifestyle,39500000,50,,FALSE,0
@iamneetubisht,Neetu Bisht,youtube,lifestyle,39400000,23.06,,FALSE,0
@williesalim,Willie Salim,youtube,lifestyle,39100000,10.16,,FALSE,0
@disneymusicvevo,DisneyMusicVEVO,youtube,music,39000000,35.89,,FALSE,0
@galinhapintadinha,Galinha Pintadinha,youtube,music,39000000,50,,FALSE,0
@mujjuu___14,mujjuu___14,youtube,business,38900000,43.47,,FALSE,0
@markiplier,Markiplier,youtube,gaming,38600000,10.4,US,FALSE,0
@sabrinacarpenter,Sabrina Carpenter,tiktok,lifestyle,38400000,5.47,,TRUE,0
@surrajandpriti,Filmy Surraj,youtube,lifestyle,38400000,50,,FALSE,0
@cybervillagesolution,CVS 3D Rhymes & Kids Songs,youtube,music,38400000,50,,FALSE,0
@thatlittlepuff,That Little Puff,youtube,food,38100000,50,,FALSE,0
@ozuna,Ozuna,youtube,music,38100000,50,,FALSE,0
@maroon5,Maroon 5,youtube,lifestyle,38000000,50,,FALSE,0
@kritikachannel1227,Kritika Channel,youtube,lifestyle,37800000,17.58,,FALSE,0
@ishaanali11,Ishaan Ali 11,youtube,business,37400000,32.17,,FALSE,0
@lucasandmarcus,Lucas and Marcus,youtube,business,37100000,17.11,,FALSE,0
@dbillions,D Billions,youtube,education,36800000,50,,FALSE,0
@geetmp3,Geet MP3,youtube,music,36700000,50,,FALSE,0
@beastreacts,Beast Reacts,youtube,food,36600000,50,,FALSE,0
@nickdigiovanni,Nick DiGiovanni,youtube,lifestyle,36500000,50,,FALSE,0
@adityamusic,Aditya Music,youtube,music,36500000,3.37,,FALSE,0
@round2hell,Round2hell,youtube,lifestyle,36300000,50,IN,FALSE,0
@crazyxyz,Crazy XYZ,youtube,lifestyle,36100000,19.67,IN,FALSE,0
@tsurikishow,Tsuriki Show,youtube,lifestyle,36000000,22.21,,FALSE,0
@infobellstamilrhymes,infobells - Tamil,youtube,fashion,36000000,50,,FALSE,0
@bayashitv_,Bayashi TV,youtube,food,35900000,44.21,,FALSE,0
@michaeljackson,Michael Jackson,youtube,lifestyle,35900000,50,,FALSE,0
@dannyfitt,Danny Fitt,youtube,lifestyle,35800000,17.01,,FALSE,0
@pokemonasiahindiofficial,Pokémon Asia Official (Hindi),youtube,lifestyle,35800000,14.48,,FALSE,0
@selenagomez,Selena Gomez,youtube,lifestyle,35700000,50,,FALSE,0
@shfashowindia,shfa show India,youtube,lifestyle,35700000,50,,FALSE,0
@yoeslan,Yoeslan,youtube,lifestyle,35400000,50,,FALSE,0
@daniellabelle,Daniel LaBelle,youtube,comedy,35400000,50,,FALSE,0
@jbalvin,J Balvin,youtube,music,35200000,50,,FALSE,0
@nickjr,Nick Jr.,youtube,gaming,35200000,12.83,,FALSE,0
@capitanyolotroll,YOLO,youtube,lifestyle,35200000,15.52,MX,FALSE,0
@sssniperwolf,SSSniperWolf,youtube,gaming,35000000,18.97,,FALSE,0
@emmieswonderwardrobe,Emmie's Wonder Wardrobe,youtube,music,34700000,35.27,,FALSE,0
@chotanawab,Chotanawab,youtube,lifestyle,34600000,15.64,,FALSE,0
@jasminandjames,Jasmin and James,youtube,lifestyle,34600000,10.05,,FALSE,0
@khandeshimovies,KHANDESHI MOVIES,youtube,music,34400000,50,,FALSE,0
@nocopyrightsounds,NoCopyrightSounds,youtube,music,34300000,17.19,GB,FALSE,0
@dream,Dream,youtube,tech,34300000,41.35,,FALSE,0
@desimusicfactoryyt,Desi Music Factory,youtube,music,34200000,50,,FALSE,0
@justinflom,Justin Flom,youtube,lifestyle,34100000,50,,FALSE,0
@chapitosiki,Chapitosiki,youtube,lifestyle,34000000,20.29,,FALSE,0
@kylethomas,kyle thomas ?��?��?�♂�?tiktok,lifestyle,34000000,18.38,,TRUE,0,
@bouncepatrol,Bounce Patrol - Kids Songs,youtube,music,34000000,50,,FALSE,0
@zidaanshahidaly,Zidaan Shahid Aly,youtube,music,33700000,14.87,,FALSE,0
@royaltyfam,The Royalty Family,youtube,fashion,33700000,43.37,,FALSE,0
@smtown,SMTOWN,youtube,music,33600000,5.11,,FALSE,0
@duduecarol,DUDU e CAROL,youtube,lifestyle,33600000,14.16,,FALSE,0
@zachchoi,Zach Choi,youtube,business,33600000,22.53,,FALSE,0
@vilyambruno,BRUNO,youtube,lifestyle,33600000,37.75,,FALSE,0
@toyoraljanahtv,??اة ط??ر ا?ج?ة | toyoraljanahtv,youtube,lifestyle,33500000,26.43,,FALSE,0
@taylorswift,Taylor Swift,tiktok,lifestyle,33500000,9.84,,TRUE,0
@talkingtom,Talking Tom,youtube,lifestyle,33400000,49.72,,FALSE,0
